DATE         VALUE
1987-01-01   62.47
1987-04-01   63.71
1987-07-01   65.01
1987-10-01   66.43
1988-01-01   67.14
1988-04-01   68.86
1988-07-01   70.16
1988-10-01   71.48
1989-01-01   72.96
1989-04-01   73.97
1989-07-01   74.83
1989-10-01   75.64
1990-01-01   76.15
1990-04-01   75.98
1990-07-01   75.44
1990-10-01   74.85
1991-01-01   74.00
1991-04-01   74.32
1991-07-01   74.75
1991-10-01   74.91
1992-01-01   74.89
1992-04-01   75.06
1992-07-01   74.97
1992-10-01   75.00
1993-01-01   75.05
1993-04-01   75.06
1993-07-01   75.62
1993-10-01   76.18
1994-01-01   77.07
1994-04-01   77.63
1994-07-01   77.77
1994-10-01   78.17
1995-01-01   78.36
1995-04-01   78.85
1995-07-01   79.39
1995-10-01   79.79
1996-01-01   80.23
1996-04-01   80.70
1996-07-01   81.22
1996-10-01   81.46
1997-01-01   82.46
1997-04-01   83.15
1997-07-01   83.86
1997-10-01   85.06
1998-01-01   86.39
1998-04-01   87.92
1998-07-01   89.54
1998-10-01   91.05
1999-01-01   92.80
1999-04-01   94.38
1999-07-01   96.43
1999-10-01   98.50
2000-01-01  100.78
2000-04-01  103.42
2000-07-01  105.68
2000-10-01  108.07
2001-01-01  110.10
2001-04-01  112.36
2001-07-01  114.81
2001-10-01  116.38
2002-01-01  118.87
2002-04-01  121.93
2002-07-01  125.39
2002-10-01  128.72
2003-01-01  131.43
2003-04-01  133.89
2003-07-01  137.58
2003-10-01  142.43
2004-01-01  147.36
2004-04-01  152.61
2004-07-01  157.47
2004-10-01  163.18
2005-01-01  170.72
2005-04-01  176.34
2005-07-01  181.52
2005-10-01  187.05
2006-01-01  190.90
2006-04-01  189.49
2006-07-01  186.00
2006-10-01  186.45
2007-01-01  187.81
2007-04-01  182.60
2007-07-01  177.43
2007-10-01  170.70
2008-01-01  162.71
2008-04-01  155.24
2008-07-01  147.89
2008-10-01  139.34
2009-01-01  132.47
2009-04-01  132.40
2009-07-01  134.83
2009-10-01  135.93
2010-01-01  135.91
2010-04-01  137.26
2010-07-01  132.87
2010-10-01  130.92
2011-01-01  129.53
2011-04-01  129.76
2011-07-01  127.89
2011-10-01  125.67
