lower	upper	count	meanIncome
0	2500	2533    295
2500 	4999	1030    3737
5000	7499	2124    6431
7500	9999	3002    8713
10000	12499	3677	11206 
12500	14999	3203	13668
15000	17499	3677    16088
17500	19999	3169    18646
20000	22499	3886	21056
22500	24999	3005	23690
25000	27499	3750	26007
27500	29999	2880	28629
30000	32499	4096	30976
32500	34999	2627	33643
35000	37499	3489    35989
37500	39999	2486	38635
40000	42499	3607	40956
42500	44999	2270	43620
45000	47499	2879	46022
47500	49999	2195	48606
50000	52499	3354	50921
52500	54999	1920	53655
55000	57499	2428	56017
57500	59999	1828	58660
60000	62499	2712	60873
62500	64999   1645	63678
65000	67499	2108	65965
67500	69999	1424	68620
70000	72499	2332	70960
72500	74999	1399	73664
75000	77499	1906	75972
77500	79999	1267	78686
80000	82499	1784	80903
82500	84999	1223	83606
85000	87499	1425	85986
87500	89999	1009	88603
90000	92499	1437	90955
92500	94999	1008	93653
95000	97499	1167	96039
97500	99999   898     98652
100000 	149999  13385   119461
150000  199999  4751    169454
200000	249999	1776	219377
250000  9999999 2240    448687
